Name,Type1,Type2
bulbasaur,Grass,Poison
ivysaur,Grass,Poison
venusaur,Grass,Poison
charmander,Fire,none
charmeleon,Fire,none
charizard,Fire,Flying
squirtle,Water,none
wartortle,Water,none
blastoise,Water,none
caterpie,Bug,none
metapod,Bug,none
butterfree,Bug,Flying
weedle,Bug,Poison
kakuna,Bug,Poison
beedrill,Bug,Poison
pidgey,Normal,Flying
pidgeotto,Normal,Flying
pidgeot,Normal,Flying
rattata,Normal,none
raticate,Normal,none
spearow,Normal,Flying
fearow,Normal,Flying
ekans,Poison,none
arbok,Poison,none
pikachu,Electric,none
raichu,Electric,none
sandshrew,Ground,none
sandslash,Ground,none
nidoran-f,Poison,none
nidorina,Poison,none
nidoqueen,Poison,Ground
nidoran-m,Poison,none
nidorino,Poison,none
nidoking,Poison,Ground
clefairy,Fairy,none
clefable,Fairy,none
vulpix,Fire,none
ninetales,Fire,none
jigglypuff,Normal,Fairy
wigglytuff,Normal,Fairy
zubat,Poison,Flying
golbat,Poison,Flying
oddish,Grass,Poison
gloom,Grass,Poison
vileplume,Grass,Poison
paras,Bug,Grass
parasect,Bug,Grass
venonat,Bug,Poison
venomoth,Bug,Poison
diglett,Ground,none
dugtrio,Ground,none
meowth,Normal,none
persian,Normal,none
psyduck,Water,none
golduck,Water,none
mankey,Fighting,none
primeape,Fighting,none
growlithe,Fire,none
arcanine,Fire,none
poliwag,Water,none
poliwhirl,Water,none
poliwrath,Water,Fighting
abra,Psychic,none
kadabra,Psychic,none
alakazam,Psychic,none
machop,Fighting,none
machoke,Fighting,none
machamp,Fighting,none
bellsprout,Grass,Poison
weepinbell,Grass,Poison
victreebel,Grass,Poison
tentacool,Water,Poison
tentacruel,Water,Poison
geodude,Rock,Ground
graveler,Rock,Ground
golem,Rock,Ground
ponyta,Fire,none
rapidash,Fire,none
slowpoke,Water,Psychic
slowbro,Water,Psychic
magnemite,Electric,Steel
magneton,Electric,Steel
farfetchd,Normal,Flying
doduo,Normal,Flying
dodrio,Normal,Flying
seel,Water,none
dewgong,Water,Ice
grimer,Poison,none
muk,Poison,none
shellder,Water,none
cloyster,Water,Ice
gastly,Ghost,Poison
haunter,Ghost,Poison
gengar,Ghost,Poison
onix,Rock,Ground
drowzee,Psychic,none
hypno,Psychic,none
krabby,Water,none
kingler,Water,none
voltorb,Electric,none
electrode,Electric,none
exeggcute,Grass,Psychic
exeggutor,Grass,Psychic
cubone,Ground,none
marowak,Ground,none
hitmonlee,Fighting,none
hitmonchan,Fighting,none
lickitung,Normal,none
koffing,Poison,none
weezing,Poison,none
rhyhorn,Ground,Rock
rhydon,Ground,Rock
chansey,Normal,none
tangela,Grass,none
kangaskhan,Normal,none
horsea,Water,none
seadra,Water,none
goldeen,Water,none
seaking,Water,none
staryu,Water,none
starmie,Water,Psychic
mr-mime,Psychic,Fairy
scyther,Bug,Flying
jynx,Ice,Psychic
electabuzz,Electric,none
magmar,Fire,none
pinsir,Bug,none
tauros,Normal,none
magikarp,Water,none
gyarados,Water,Flying
lapras,Water,Ice
ditto,Normal,none
eevee,Normal,none
vaporeon,Water,none
jolteon,Electric,none
flareon,Fire,none
porygon,Normal,none
omanyte,Rock,Water
omastar,Rock,Water
kabuto,Rock,Water
kabutops,Rock,Water
aerodactyl,Rock,Flying
snorlax,Normal,none
articuno,Ice,Flying
zapdos,Electric,Flying
